Question,Answer,Class
Can an RTGS transaction be tracked? Would the remitting customer receive an acknowledgement of money credited to the beneficiary's account?,"While the customers do not have the facility to track the transaction, the RBI has implemented the feature of positive confirmation in an RTGS transaction. Under this, the remitting bank would receive a message from RBI (through the beneficiary bank) that the money has been credited to the beneficiary bank / customer account. Based on this, the remitting bank should advise the remitting customer that money has been credited to the receiving bank’s beneficiary account.",RTGS
Is a customer eligible to get compensation for delay in returning the payment?,"In case of any delay in returning the failed payment, the originating customer is eligible to receive compensation at current repo rate plus 2%.",RTGS
What is UTR number?,Unique Transaction Reference (UTR) number is a 22-character code used to uniquely identify a transaction in RTGS system.,RTGS
What is the Help Desk / Contact point at the RBI?,You may approach RTGS Help Desk / Contact point of the RBI at rtgsmumbai@rbi.org.in.,RTGS
What is National Electronic Funds Transfer system?,National Electronic Funds Transfer (NEFT) is a nation-wide centralised payment system owned and operated by the Reserve Bank of India (RBI). The set of procedures to be followed by various stakeholders participating in the system is available on the RBI website under the following link: https://rbi.org.in/Scripts/bs_viewcontent.aspx?Id=2346,NEFT
Who can avail NEFT system for fund transfer / receipt?,"Individuals, firms and corporates maintaining accounts with any member bank, participating in the NEFT system, can electronically transfer funds to any individual, firm or corporate having an account with any other bank in the country participating in the NEFT system.",NEFT
Is there any limit on funds / amount to be remitted through NEFT system?,"No, there is no limit imposed by the RBI for funds transfer through NEFT system. However, a member bank may place amount limits based on its own risk perception with the approval of its Board.",NEFT
Can the NEFT system be used for remitting funds even by those who do not have a bank account?,"Yes, a person who does not have a bank account can remit funds through NEFT to a beneficiary having a bank account, with another NEFT member bank. It can be done by depositing cash at the nearest NEFT enabled branch of any bank, by furnishing additional details such as complete address, telephone number, etc. Such cash remittances will, however, be restricted to a maximum of ?50,000 per transaction.",NEFT
Can I send funds to my relative / friend residing abroad through NEFT system?,"The outbound remittances through NEFT system are permitted only to Nepal under Indo-Nepal Remittance Facility (INRF) Scheme. Under this Scheme, the remitter can transfer funds from any of the NEFT-enabled bank branches in India to Nepal, irrespective of whether the beneficiary in Nepal maintains an account with a bank branch in Nepal or not. The beneficiary would receive funds in Nepalese Rupees. The details of the INRF Scheme are available on the website of RBI at https://rbi.org.in/scripts/FAQView.aspx?Id=67.",NEFT
What are the operating hours of NEFT?,"The NEFT system is available round the clock throughout the year on all days, i.e., on 24x7x365 basis. NEFT presently operates in batches on half-hourly intervals throughout the day. In case of non-availability of NEFT for any reason, appropriate message will be broadcasted by RBI to all system participants.",NEFT
What are the essential details required for remitting funds through NEFT system?,Hi hello,NEFT
Can I use NEFT to transfer funds from / to NRE and NRO accounts?,"Yes, NEFT can be used to transfer funds from / to NRE and NRO accounts in the country. This, however, is subject to the adherence of the provisions of the Foreign Exchange Management Act, 2000 (FEMA) and Wire Transfer Guidelines.",NEFT
Can I originate a NEFT transaction to draw / receive funds from another account?,"No. NEFT is a credit-push system i.e., transactions can be originated by the payer / remitter / sender only to pay / transfer / remit funds to beneficiary.",NEFT
How much time should I expect for receipt of funds by beneficiary?,"A timeline of two hours from the batch settlement can be expected, within which beneficiary’s account should be credited.",NEFT
"What happens if funds are not credited to the beneficiary? Or Do I get my money back, if funds are not credited to the beneficiary due to various reasons?","If it is not possible to afford credit to the account of the beneficiary for any reason, destination banks are required to return the transaction (to the originating branch) within two hours of completion of the batch in which the transaction was processed.",NEFT
What are the penalties / compensation for delayed credit or return of funds by beneficiary bank?,"If the NEFT transaction is not credited or returned within two hours after batch settlement, then the bank is liable to pay penal interest to the affected customer at the current RBI LAF Repo Rate plus two percent for the period of delay / till the date of credit or refund, as the case may be, is afforded to the customers’ account without waiting for a specific claim to be lodged by the customer in this regard.",NEFT
What happens if I write wrong account number of beneficiary?,"The credit is given to the account number written / given by remitter in his / her application / instruction. Credit to beneficiary account is released solely based on account number. It is the responsibility of remitting customer to write correct account number. The originator / sender should exercise due care in providing the correct account number of the beneficiary, in the NEFT remittance instruction / application.",NEFT
